ID,Film,Year,Award,Nomination
425,I Am a Promise: The Children of Stanton Elementary School,1993,1,1
426,Mrs. Doubtfire,1993,1,1
427,Black Rider,1993,1,1
428,Defending Our Lives,1993,1,1
429,Unforgiven,1992,4,9
430,Howards End,1992,3,9
431,Bram Stoker's Dracula,1992,3,4
432,Aladdin,1992,2,5
433,The Crying Game,1992,1,6
434,Scent of a Woman,1992,1,4
435,A River Runs Through It,1992,1,3
436,Indochine,1992,1,2
437,My Cousin Vinny,1992,1,1
438,The Panama Deception,1992,1,1
439,Educating Peter,1992,1,1
440,The Last of the Mohicans,1992,1,1
441,Death Becomes Her,1992,1,1
442,Omnibus,1992,1,1
443,Mona Lisa Descending a Staircase,1992,1,1
444,The Silence of the Lambs,1991,5,7
445,Terminator 2: Judgment Day,1991,4,6
446,Bugsy,1991,2,10
447,JFK,1991,2,8
448,Thelma &amp; Louise,1991,1,6
449,The Fisher King,1991,1,5
450,In the Shadow of the Stars,1991,1,1
451,Manipulation,1991,1,1
452,Mediterraneo,1991,1,1
453,Session Man,1991,1,1
454,City Slickers,1991,1,1
455,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1
456,Dances with Wolves,1990,7,12
457,Dick Tracy,1990,3,7
458,Ghost,1990,2,5
459,Goodfellas,1990,1,6
460,The Hunt for Red October,1990,1,3
461,Reversal of Fortune,1990,1,3
462,Cyrano de Bergerac,1990,1,5
463,American Dream,1990,1,1
464,Journey of Hope,1990,1,1
465,Days of Waiting,1990,1,1
466,Creature Comforts,1990,1,1
467,The Lunch Date,1990,1,1
468,Misery,1990,1,1
469,Total Recall,1990,0,2
470,Driving Miss Daisy,1989,4,9
471,Glory,1989,3,5
472,Born on the Fourth of July,1989,2,8
473,My Left Foot,1989,2,5
474,The Little Mermaid,1989,2,3
475,Dead Poets Society,1989,1,4
476,The Abyss,1989,1,4
477,Indiana Jones and the Last Crusade,1989,1,3
478,Henry V,1989,1,3
479,The Johnstown Flood,1989,1,1
480,Common Threads: Stories from the Quilt,1989,1,1
481,Cinema Paradiso,1989,1,1
482,Work Experience,1989,1,1
483,Batman,1989,1,1
484,Balance,1989,1,1
485,Rain Man,1988,4,8
486,Dangerous Liaisons,1988,3,7
487,Who Framed Roger Rabbit,1988,3,6
488,Mississippi Burning,1988,1,7
489,Working Girl,1988,1,6
490,The Accidental Tourist,1988,1,4
491,A Fish Called Wanda,1988,1,3
492,Pelle the Conqueror,1988,1,2
493,The Accused,1988,1,1
494,The Appointments of Dennis Jennings,1988,1,1
495,Beetlejuice,1988,1,1
496,Bird,1988,1,1
497,H��tel Terminus: The Life and Times of Klaus Ba,1988,1,1
498,The Milagro Beanfield War,1988,1,1
499,Tin Toy,1988,1,1
500,You Don't Have to Die,1988,1,1
501,The Last Emperor,1987,9,9
502,Moonstruck,1987,3,6
503,The Untouchables,1987,1,4
504,Babette's Feast,1987,1,1
505,Dirty Dancing,1987,1,1
506,Harry and the Hendersons,1987,1,1
507,Innerspace,1987,1,1
508,The Man Who Planted Trees,1987,1,1
509,Ray's Male Heterosexual Dance Hall,1987,1,1
510,The Ten-Year Lunch,1987,1,1
511,Wall Street,1987,1,1
512,Young at Heart,1987,1,1
513,RoboCop,1987,0,2
514,Platoon,1986,4,8
515,A Room with a View,1986,3,8
516,Hannah and Her Sisters,1986,3,7
517,Aliens,1986,2,7
518,The Mission,1986,1,7
519,Children of a Lesser God,1986,1,5
520,The Color of Money,1986,1,4
521,Top Gun,1986,1,4
522,Round Midnight,1986,1,2
523,Artie Shaw: Time Is All You've Got,1986,1,1
524,The Assault,1986,1,1
525,Down and Out in America,1986,1,1
526,The Fly,1986,1,1
527,A Greek Tragedy,1986,1,1
528,Precious Images,1986,1,1
529,"Women ��� for America, for the",1986,1,1
530,Out of Africa,1985,7,11
531,Witness,1985,2,8
532,Cocoon,1985,2,2
533,Prizzi's Honor,1985,1,8
534,Back to the Future,1985,1,4
535,Kiss of the Spider Woman,1985,1,4
536,Ran,1985,1,4
537,The Official Story,1985,1,2
538,The Trip to Bountiful,1985,1,2
539,White Nights,1985,1,2
540,Anna &amp; Bella,1985,1,1
541,Broken Rainbow,1985,1,1
542,Mask,1985,1,1
543,Molly's Pilgrim,1985,1,1
544,Witness to War: Dr. Charlie Clements,1985,1,1
545,Amadeus,1984,8,11
546,The Killing Fields,1984,3,7
547,A Passage to India,1984,2,11
548,Places in the Heart,1984,2,7
549,Indiana Jones and the Temple of Doom,1984,1,2
550,Charade,1984,1,1
551,Dangerous Moves,1984,1,1
552,Purple Rain,1984,1,1
553,The Stone Carvers,1984,1,1
554,The Times of Harvey Milk,1984,1,1
555,Up,1984,1,1
556,The Woman in Red,1984,1,1
557,The River,1984,0,4
558,Terms of Endearment,1983,5,11
559,The Right Stuff,1983,4,8
560,Fanny &amp; Alexander,1983,4,6
561,Tender Mercies,1983,2,5
562,Yentl,1983,1,5
563,Flashdance,1983,1,4
564,Boys and Girls,1983,1,1
565,Flamenco at 5:15,1983,1,1
566,He Makes Me Feel Like Dancin',1983,1,1
567,Sundae in New York,1983,1,1
568,The Year of Living Dangerously,1983,1,1
569,Return of the Jedi,1983,0,4
570,Gandhi,1982,8,11
571,E.T.: The Extra-Terrestrial,1982,4,9
572,An Officer and a Gentleman,1982,2,6
573,Tootsie,1982,1,10
574,Victor/Victoria,1982,1,7
575,Sophie's Choice,1982,1,5
576,Missing,1982,1,4
577,If You Love This Planet,1982,1,1
578,Just Another Missing Kid,1982,1,2
579,A Shocking Accident,1982,1,1
580,Tango,1982,1,1
581,To Begin Again,1982,1,1
582,Quest for Fire,1982,1,1
583,Chariots of Fire,1981,4,7
584,Raiders of the Lost Ark,1981,4,8
585,Reds,1981,3,12
586,On Golden Pond,1981,3,10
587,Arthur,1981,2,4
588,An American Werewolf in London,1981,1,1
589,Close Harmony,1981,1,1
590,Crac,1981,1,1
591,Genocide,1981,1,1
592,Mephisto,1981,1,1
593,Violet,1981,1,1
594,Ordinary People,1980,4,6
595,Tess,1980,3,6
596,Raging Bull,1980,2,8
597,Fame,1980,2,6
598,Melvin and Howard,1980,2,3
599,Coal Miner's Daughter,1980,1,7
600,The Empire Strikes Back,1980,1,3
601,The Dollar Bottom,1980,1,1
602,The Fly,1980,1,1
603,From Mao to Mozart: Isaac Stern in China,1980,1,1
604,Karl Hess: Toward Liberty,1980,1,1
605,Moscow Does Not Believe in Tears,1980,1,1
606,Kramer vs. Kramer,1979,5,9
607,All That Jazz,1979,4,9
608,Apocalypse Now,1979,2,8
609,Norma Rae,1979,2,4
610,Breaking Away,1979,1,5
611,Alien,1979,1,2
612,Being There,1979,1,2
